App;RED;Type;Latitud;Longitud;Fecha Hora Inicio;Fecha Hora Fin;Estado;Causa de falla;Tamanio de archivo (MB)
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:16:18;2025-06-09 16:16:23;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:16:37;2025-06-09 16:16:38;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:16:53;2025-06-09 16:16:59;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:17:11;2025-06-09 16:17:13;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:17:16;2025-06-09 16:17:20;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:21:24;2025-06-09 16:21:26;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:21:42;2025-06-09 16:21:46;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:21:54;2025-06-09 16:21:56;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:21:58;2025-06-09 16:22:02;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:22:16;2025-06-09 16:22:18;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:22:46;2025-06-09 16:22:47;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:23:05;2025-06-09 16:23:10;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:23:22;2025-06-09 16:23:23;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:23:26;2025-06-09 16:23:29;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:25:18;2025-06-09 16:25:19;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:25:35;2025-06-09 16:25:41;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:25:51;2025-06-09 16:25:53;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:25:55;2025-06-09 16:25:59;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:26:51;2025-06-09 16:26:51;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:27:18;2025-06-09 16:27:20;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:27:39;2025-06-09 16:27:45;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:27:58;2025-06-09 16:28:00;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:28:02;2025-06-09 16:28:06;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:28:39;2025-06-09 16:28:42;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:28:58;2025-06-09 16:29:02;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:29:11;2025-06-09 16:29:13;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:29:15;2025-06-09 16:29:26;fallido;Time Out;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:29:26;2025-06-09 16:29:26;fallido;Elemento no encontrado;0 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 16:29:26;2025-06-09 16:29:26;fallido;Elemento no encontrado;0 Mb
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:29:34;2025-06-09 16:29:36;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:29:52;2025-06-09 16:29:56;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:30:09;2025-06-09 16:30:11;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:30:13;2025-06-09 16:30:18;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:30:22;2025-06-09 16:30:26;exitoso;;25.58 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:31:10;2025-06-09 16:31:11;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:31:41;2025-06-09 16:31:42;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:32:02;2025-06-09 16:32:07;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:32:20;2025-06-09 16:32:22;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:32:24;2025-06-09 16:32:29;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:32:33;2025-06-09 16:32:36;exitoso;;25.58 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:35:46;2025-06-09 16:35:47;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:36:03;2025-06-09 16:36:07;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:36:15;2025-06-09 16:36:17;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:36:19;2025-06-09 16:36:22;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:36:27;2025-06-09 16:36:31;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 16:36:33;2025-06-09 16:36:41;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:39:13;2025-06-09 16:39:16;fallido;Elemento no encontrado;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:39:35;2025-06-09 16:39:38;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:39:51;2025-06-09 16:39:54;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:39:56;2025-06-09 16:40:01;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:40:45;2025-06-09 16:40:48;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:41:03;2025-06-09 16:41:11;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:41:21;2025-06-09 16:41:23;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:41:39;2025-06-09 16:41:42;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:41:55;2025-06-09 16:41:57;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:41:59;2025-06-09 16:42:04;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:42:09;2025-06-09 16:42:13;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 16:42:16;2025-06-09 16:42:25;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:42:33;2025-06-09 16:42:35;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:48:21;2025-06-09 16:48:23;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:48:43;2025-06-09 16:48:46;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:48:58;2025-06-09 16:49:00;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:49:02;2025-06-09 16:49:08;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:51:48;2025-06-09 16:51:49;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:52:06;2025-06-09 16:52:12;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:52:25;2025-06-09 16:52:27;exitoso;;4 caracteres
